,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist,Track,Album,Track ID,language
57,0.722,0.668,7,-6.74,0,0.0309,0.334,0.000207,0.0679,0.874,117.159,audio_features,2IAq7NOjlLVe6bnu0YwdOV,spotify:track:2IAq7NOjlLVe6bnu0YwdOV,https://api.spotify.com/v1/tracks/2IAq7NOjlLVe6bnu0YwdOV,https://api.spotify.com/v1/audio-analysis/2IAq7NOjlLVe6bnu0YwdOV,272547,4,France Gall,Résiste,Evidemment,2IAq7NOjlLVe6bnu0YwdOV,French
58,0.525,0.807,2,-6.366,0,0.0725,0.251,0,0.0504,0.741,155.397,audio_features,734dz1YaFITwawPpM25fSt,spotify:track:734dz1YaFITwawPpM25fSt,https://api.spotify.com/v1/tracks/734dz1YaFITwawPpM25fSt,https://api.spotify.com/v1/audio-analysis/734dz1YaFITwawPpM25fSt,215933,4,Zaz,Je veux,Zaz,734dz1YaFITwawPpM25fSt,French
59,0.485,0.616,0,-7.686,0,0.0283,0.117,0,0.143,0.239,139.987,audio_features,4vnIe8OxfwVDpFLuLeukmK,spotify:track:4vnIe8OxfwVDpFLuLeukmK,https://api.spotify.com/v1/tracks/4vnIe8OxfwVDpFLuLeukmK,https://api.spotify.com/v1/audio-analysis/4vnIe8OxfwVDpFLuLeukmK,238453,4,Emmanuel Moire,Etre à la hauteur,Etre A La Hauteur,4vnIe8OxfwVDpFLuLeukmK,French
60,0.668,0.982,9,-4.959,0,0.0293,0.00967,0.00305,0.336,0.906,137.793,audio_features,275EmoPPOyBjovCthvhyb5,spotify:track:275EmoPPOyBjovCthvhyb5,https://api.spotify.com/v1/tracks/275EmoPPOyBjovCthvhyb5,https://api.spotify.com/v1/audio-analysis/275EmoPPOyBjovCthvhyb5,289467,4,Indochine,3 nuits par semaine,Unita (Best Of),275EmoPPOyBjovCthvhyb5,French
61,0.507,0.639,5,-7.803,0,0.0276,0.299,0,0.265,0.49,96.846,audio_features,4nTWwzFWWYnkAXhwLvBUp3,spotify:track:4nTWwzFWWYnkAXhwLvBUp3,https://api.spotify.com/v1/tracks/4nTWwzFWWYnkAXhwLvBUp3,https://api.spotify.com/v1/audio-analysis/4nTWwzFWWYnkAXhwLvBUp3,275787,4,Catherine Lara,Nuit magique,Soirée années 80,4nTWwzFWWYnkAXhwLvBUp3,French
62,0.654,0.514,6,-10.124,1,0.0291,0.221,0,0.0322,0.763,96.079,audio_features,6ri4yWOtcfGpTcigL2YeBe,spotify:track:6ri4yWOtcfGpTcigL2YeBe,https://api.spotify.com/v1/tracks/6ri4yWOtcfGpTcigL2YeBe,https://api.spotify.com/v1/audio-analysis/6ri4yWOtcfGpTcigL2YeBe,232000,4,Axelle Red,Sensualité,Sans plus attendre,6ri4yWOtcfGpTcigL2YeBe,French
63,0.696,0.827,11,-5.663,1,0.0403,0.000157,0.00687,0.111,0.361,120.033,audio_features,5ymgCL2EdEVfQszPj77wn8,spotify:track:5ymgCL2EdEVfQszPj77wn8,https://api.spotify.com/v1/tracks/5ymgCL2EdEVfQszPj77wn8,https://api.spotify.com/v1/audio-analysis/5ymgCL2EdEVfQszPj77wn8,360640,4,Michel Sardou,La même eau qui coule,L'album de sa vie 100 titres,5ymgCL2EdEVfQszPj77wn8,French
64,0.681,0.813,5,-11.683,0,0.0353,0.501,0.066,0.0566,0.881,103.331,audio_features,5wwcuzze9fCy8rgVd1Sb9t,spotify:track:5wwcuzze9fCy8rgVd1Sb9t,https://api.spotify.com/v1/tracks/5wwcuzze9fCy8rgVd1Sb9t,https://api.spotify.com/v1/audio-analysis/5wwcuzze9fCy8rgVd1Sb9t,235227,4,François Valéry,Aimons-Nous Vivants,François Valéry 1987 - 1991,5wwcuzze9fCy8rgVd1Sb9t,French
65,0.654,0.745,9,-11.095,1,0.0383,0.078,0.000035,0.384,0.936,139.454,audio_features,7hniQwujjTc2YdM0nj2Ncu,spotify:track:7hniQwujjTc2YdM0nj2Ncu,https://api.spotify.com/v1/tracks/7hniQwujjTc2YdM0nj2Ncu,https://api.spotify.com/v1/audio-analysis/7hniQwujjTc2YdM0nj2Ncu,267840,4,Téléphone,Ça c'est vraiment toi,Best of,7hniQwujjTc2YdM0nj2Ncu,French
66,0.534,0.807,4,-5.606,1,0.0622,0.0574,0.00000223,0.123,0.348,127.131,audio_features,6Dzz53SHm0zU1lNgIi404K,spotify:track:6Dzz53SHm0zU1lNgIi404K,https://api.spotify.com/v1/tracks/6Dzz53SHm0zU1lNgIi404K,https://api.spotify.com/v1/audio-analysis/6Dzz53SHm0zU1lNgIi404K,251867,4,Stephan Eicher,Le Plus Léger Au Monde,Le Plus Léger Au Monde,6Dzz53SHm0zU1lNgIi404K,French
